,Room,Time,Assoc,Auth
23,B002,1447548593,0,0
24,B002,1447548892,0,0
25,B002,1447549204,0,0
26,B002,1447549492,0,0
27,B002,1447549792,0,0
28,B002,1447550092,0,0
29,B002,1447550392,0,0
30,B002,1447550695,0,0
21,B004,1446698035,0,0
22,B004,1446698334,0,0
23,B004,1446698638,0,0
24,B004,1446698937,0,0
25,B004,1446699238,0,0
26,B004,1446699540,0,0
27,B004,1446699838,0,0
28,B004,1446700141,0,0
29,B004,1446700440,0,0
30,B004,1446700705,0,0
31,B004,1446701045,0,0
32,B004,1446701347,0,0
21,B004,1447587099,0,0
22,B004,1447587402,0,0
23,B004,1447587702,0,0
24,B004,1447588001,0,0
25,B004,1447588307,0,0
26,B004,1447588606,0,0
27,B004,1447588907,0,0
28,B004,1447589209,0,0
29,B004,1447589513,0,0
30,B004,1447589812,0,0
31,B004,1447590116,0,0
32,B004,1447590418,0,0
21,B002,1447594329,1,1
22,B002,1447594639,0,0
23,B002,1447594935,0,0
24,B002,1447595235,0,0
25,B002,1447595538,0,0
26,B002,1447595839,0,0
27,B002,1447596138,0,0
28,B002,1447596439,0,0
29,B002,1447596742,0,0
30,B002,1447597041,0,0
31,B002,1447597353,0,0
32,B002,1447597646,0,0
21,B002,1446802264,3,3
22,B002,1446802570,2,2
23,B002,1446802869,2,2
24,B002,1446803183,2,2
25,B002,1446803493,3,3
26,B002,1446803818,2,2
27,B002,1446804144,2,2
28,B002,1446804428,3,3
29,B002,1446804707,2,2
30,B002,1446805004,3,3
31,B002,1446805303,4,4
32,B002,1446805605,4,4
21,B002,1447086697,73,73
22,B002,1447087001,70,70
23,B002,1447087306,68,68
24,B002,1447087608,62,62
25,B002,1447087918,61,61
26,B002,1447088224,56,56
27,B002,1447088533,60,59
28,B002,1447088835,57,57
29,B002,1447089125,59,59
30,B002,1447089425,53,53
31,B002,1447089673,52,52
32,B002,1447090027,52,52
21,B004,1447086697,6,6
22,B004,1447087001,5,5
23,B004,1447087306,6,6
24,B004,1447087608,5,5
25,B004,1447087918,6,6
26,B004,1447088224,6,6
27,B004,1447088533,6,6
28,B004,1447088835,6,6
29,B004,1447089125,7,7
30,B004,1447089425,6,5
31,B004,1447089673,6,5
32,B004,1447090027,7,7
21,B003,1446600802,0,0
22,B003,1446601104,0,0
23,B003,1446601407,0,0
24,B003,1446601706,0,0
25,B003,1446602011,0,0
26,B003,1446602309,0,0
27,B003,1446602613,0,0
28,B003,1446602832,0,0
29,B003,1446603211,0,0
30,B003,1446603511,0,0
31,B003,1446603815,0,0
32,B003,1446604112,0,0
20,B004,1446708897,0,0
21,B004,1446709198,0,0
22,B004,1446709501,0,0
23,B004,1446709808,0,0
24,B004,1446710110,0,0
25,B004,1446710412,0,0
26,B004,1446710722,0,0
27,B004,1446711019,0,0
28,B004,1446711328,0,0
29,B004,1446711631,1,1
30,B004,1446711936,6,6
21,B004,1446975066,0,0
22,B004,1446975367,0,0
23,B004,1446975668,0,0
24,B004,1446975975,0,0
25,B004,1446976275,0,0
26,B004,1446976576,0,0
27,B004,1446976878,0,0
28,B004,1446977182,0,0
29,B004,1446977429,0,0
30,B004,1446977789,0,0
31,B004,1446978081,0,0
32,B004,1446978384,0,0
21,B003,1446841916,0,0
22,B003,1446842218,0,0
23,B003,1446842518,0,0
24,B003,1446842816,0,0
25,B003,1446843120,0,0
26,B003,1446843421,0,0
27,B003,1446843679,0,0
28,B003,1446844018,0,0
29,B003,1446844323,0,0
30,B003,1446844623,0,0
31,B003,1446844923,0,0
32,B003,1446845223,0,0
21,B003,1447705998,0,0
22,B003,1447706305,0,0
23,B003,1447706607,0,0
24,B003,1447706902,0,0
25,B003,1447707207,0,0
26,B003,1447707509,0,0
27,B003,1447707805,0,0
28,B003,1447708108,0,0
29,B003,1447708409,0,0
30,B003,1447708709,0,0
31,B003,1447709011,0,0
32,B003,1447709313,0,0
20,B003,1447461242,0,0
21,B003,1447461541,0,0
22,B003,1447461851,0,0
23,B003,1447462147,0,0
24,B003,1447462457,0,0
25,B003,1447462987,0,0
26,B003,1447463362,0,0
27,B003,1447463654,0,0
28,B003,1447463951,0,0
29,B003,1447464250,0,0
30,B003,1447464551,0,0
21,B002,1447576258,0,0
22,B002,1447576558,0,0
23,B002,1447576860,0,0
24,B002,1447577160,0,0
25,B002,1447577460,0,0
26,B002,1447577811,0,0
27,B002,1447578068,0,0
28,B002,1447578369,0,0
29,B002,1447578670,0,0
30,B002,1447578969,0,0
31,B002,1447579269,0,0
32,B002,1447579569,0,0
21,B002,1446982298,0,0
22,B002,1446982602,0,0
23,B002,1446982901,0,0
24,B002,1446983205,0,0
25,B002,1446983505,0,0
26,B002,1446983807,0,0
27,B002,1446984113,0,0
28,B002,1446984415,0,0
29,B002,1446984716,0,0
30,B002,1446985016,0,0
31,B002,1446985317,0,0
32,B002,1446985617,0,0
21,B003,1447173111,4,4
22,B003,1447173417,4,4
23,B003,1447173721,4,4
24,B003,1447174027,3,3
25,B003,1447174345,3,3
26,B003,1447174658,1,1
27,B003,1447174958,1,1
28,B003,1447175253,2,2
29,B003,1447175553,1,1
30,B003,1447175846,3,3
31,B003,1447176140,3,3
32,B003,1447176450,4,4
21,B004,1447029010,0,0
22,B004,1447029310,0,0
23,B004,1447029610,0,0
24,B004,1447029912,0,0
25,B004,1447030212,0,0
26,B004,1447030514,0,0
27,B004,1447030814,0,0
28,B004,1447031113,0,0
29,B004,1447031418,0,0
30,B004,1447031714,0,0
31,B004,1447032017,0,0
32,B004,1447032316,0,0
21,B004,1446967843,0,0
22,B004,1446968146,0,0
23,B004,1446968445,0,0
24,B004,1446968746,0,0
25,B004,1446969044,0,0
26,B004,1446969348,0,0
27,B004,1446969650,0,0
28,B004,1446969949,0,0
29,B004,1446970250,0,0
30,B004,1446970551,0,0
31,B004,1446970850,0,0
32,B004,1446971153,0,0
21,B003,1446687203,0,0
22,B003,1446687497,0,0
23,B003,1446687796,0,0
24,B003,1446688101,0,0
25,B003,1446688398,0,0
26,B003,1446688698,0,0
27,B003,1446689010,0,0
28,B003,1446689308,0,0
29,B003,1446689604,0,0
30,B003,1446689902,0,0
31,B003,1446690203,0,0
32,B003,1446690503,0,0
20,B002,1446550393,28,28
21,B002,1446550838,27,27
22,B002,1446551106,27,27
23,B002,1446551425,36,36
24,B002,1446551767,32,32
25,B002,1446552083,31,31
26,B002,1446552390,20,20
27,B002,1446552667,21,21
28,B002,1446552955,21,21
29,B002,1446553257,20,20
30,B002,1446553558,12,12
20,B003,1447115667,0,0
21,B003,1447115970,0,0
22,B003,1447116321,0,0
23,B003,1447116698,0,0
24,B003,1447117171,0,0
25,B003,1447117470,0,0
26,B003,1447117770,0,0
27,B003,1447118072,0,0
28,B003,1447118373,0,0
29,B003,1447118675,0,0
30,B003,1447118980,0,0
21,B004,1446903170,0,0
22,B004,1446903459,0,0
23,B004,1446903755,0,0
24,B004,1446904062,0,0
25,B004,1446904365,0,0
26,B004,1446904676,0,0
27,B004,1446904987,0,0
28,B004,1446905282,0,0
29,B004,1446905580,0,0
30,B004,1446905878,0,0
31,B004,1446906181,0,0
32,B004,1446906487,0,0
21,B003,1446690804,0,0
22,B003,1446691115,0,0
23,B003,1446691411,0,0
24,B003,1446691718,0,0
25,B003,1446692009,0,0
26,B003,1446692311,0,0
27,B003,1446692613,0,0
28,B003,1446692915,0,0
29,B003,1446693215,0,0
30,B003,1446693518,0,0
31,B003,1446693817,0,0
32,B003,1446694121,0,0
21,B002,1447468466,0,0
22,B002,1447468817,0,0
23,B002,1447469067,0,0
24,B002,1447469366,0,0
25,B002,1447469665,0,0
26,B002,1447469967,0,0
27,B002,1447470268,0,0
28,B002,1447470591,0,0
29,B002,1447470880,0,0
30,B002,1447471180,0,0
31,B002,1447471473,0,0
32,B002,1447471775,0,0
21,B004,1447540462,0,0
22,B004,1447540759,0,0
23,B004,1447541060,0,0
24,B004,1447541366,0,0
25,B004,1447541662,0,0
26,B004,1447541965,0,0
27,B004,1447542263,0,0
28,B004,1447542564,0,0
29,B004,1447542864,0,0
30,B004,1447543168,0,0
31,B004,1447543466,0,0
32,B004,1447543768,0,0
21,B002,1447345936,46,46
22,B002,1447346239,45,44
23,B002,1447346545,42,42
24,B002,1447346858,40,40
25,B002,1447347165,41,40
26,B002,1447347473,41,41
27,B002,1447347792,37,37
28,B002,1447348097,38,38
29,B002,1447348385,32,32
30,B002,1447348672,24,24
31,B002,1447348973,14,14
32,B002,1447349279,12,12
21,B004,1446600802,0,0
22,B004,1446601104,0,0
23,B004,1446601407,0,0
24,B004,1446601706,0,0
25,B004,1446602011,0,0
26,B004,1446602309,0,0
27,B004,1446602613,0,0
28,B004,1446602832,0,0
29,B004,1446603211,0,0
30,B004,1446603511,0,0
31,B004,1446603815,0,0
32,B004,1446604112,0,0
21,B004,1447533241,0,0
22,B004,1447533542,0,0
23,B004,1447533843,0,0
24,B004,1447534144,0,0
25,B004,1447534445,0,0
26,B004,1447534744,0,0
27,B004,1447535046,0,0
28,B004,1447535345,0,0
29,B004,1447535646,0,0
30,B004,1447535947,0,0
31,B004,1447536247,0,0
32,B004,1447536547,0,0
20,B002,1446532489,0,0
21,B002,1446532789,0,0
22,B002,1446533091,0,0
23,B002,1446533393,0,0
24,B002,1446533690,0,0
25,B002,1446533996,0,0
26,B002,1446534299,0,0
27,B002,1446534601,0,0
28,B002,1446534902,0,0
29,B002,1446535205,0,0
30,B002,1446535504,0,0
21,B004,1447201921,0,0
22,B004,1447202122,0,0
23,B004,1447202414,0,0
24,B004,1447202733,0,0
25,B004,1447203056,0,0
26,B004,1447203350,0,0
27,B004,1447203651,0,0
28,B004,1447203947,0,0
29,B004,1447204250,0,0
30,B004,1447204550,0,0
31,B004,1447204849,0,0
32,B004,1447205151,0,0
21,B002,1446910388,0,0
22,B002,1446910687,0,0
23,B002,1446910988,0,0
24,B002,1446911289,0,0
25,B002,1446911585,0,0
