13.00-14.00,B109,90,1,25,5th November 2015,1446728400,Seminar
14.00-15.00,B004,160,1,25,5th November 2015,1446732000,Lecture Theatre
14.00-15.00,B002,90,1,25,5th November 2015,1446732000,Classroom
14.00-15.00,B003,90,1,25,5th November 2015,1446732000,Classroom
14.00-15.00,B106,90,1,50,5th November 2015,1446732000,A.L.E.
14.00-15.00,B108,40,1,75,5th November 2015,1446732000,Seminar
14.00-15.00,B109,90,1,25,5th November 2015,1446732000,Seminar
15.00-16.00,B004,160,0,0,5th November 2015,1446735600,Lecture Theatre
15.00-16.00,B002,90,1,50,5th November 2015,1446735600,Classroom
15.00-16.00,B003,90,0,0,5th November 2015,1446735600,Classroom
15.00-16.00,B106,90,1,25,5th November 2015,1446735600,A.L.E.
15.00-16.00,B108,40,1,25,5th November 2015,1446735600,Seminar
15.00-16.00,B109,90,0,0,5th November 2015,1446735600,Seminar
16.00-17.00,B004,160,0,0,5th November 2015,1446739200,Lecture Theatre
16.00-17.00,B002,90,0,0,5th November 2015,1446739200,Classroom
16.00-17.00,B003,90,0,0,5th November 2015,1446739200,Classroom
16.00-17.00,B106,90,1,25,5th November 2015,1446739200,A.L.E.
16.00-17.00,B108,40,1,25,5th November 2015,1446739200,Seminar
16.00-17.00,B109,90,0,0,5th November 2015,1446739200,Seminar
9.00-10.00,B004,160,0,0,6th November 2015,1446800400,Lecture Theatre
9.00-10.00,B002,90,0,0,6th November 2015,1446800400,Classroom
9.00-10.00,B003,90,1,25,6th November 2015,1446800400,Classroom
9.00-10.00,B106,90,1,50,6th November 2015,1446800400,A.L.E.
9.00-10.00,B108,40,0,0,6th November 2015,1446800400,Seminar
9.00-10.00,B109,90,0,0,6th November 2015,1446800400,Seminar
10.00-11.00,B004,160,1,50,6th November 2015,1446804000,Lecture Theatre
10.00-11.00,B002,90,0,0,6th November 2015,1446804000,Classroom
10.00-11.00,B003,90,1,75,6th November 2015,1446804000,Classroom
10.00-11.00,B106,90,1,50,6th November 2015,1446804000,A.L.E.
10.00-11.00,B108,40,0,0,6th November 2015,1446804000,Seminar
10.00-11.00,B109,90,0,0,6th November 2015,1446804000,Seminar
11.00-12.00,B004,160,1,25,6th November 2015,1446807600,Lecture Theatre
11.00-12.00,B002,90,1,25,6th November 2015,1446807600,Classroom
11.00-12.00,B003,90,1,25,6th November 2015,1446807600,Classroom
11.00-12.00,B106,90,1,100,6th November 2015,1446807600,A.L.E.
11.00-12.00,B108,40,0,0,6th November 2015,1446807600,Seminar
11.00-12.00,B109,90,0,0,6th November 2015,1446807600,Seminar
12.00-13.00,B004,160,1,25,6th November 2015,1446811200,Lecture Theatre
12.00-13.00,B002,90,1,25,6th November 2015,1446811200,Classroom
12.00-13.00,B003,90,1,25,6th November 2015,1446811200,Classroom
12.00-13.00,B106,90,1,25,6th November 2015,1446811200,A.L.E.
12.00-13.00,B108,40,0,0,6th November 2015,1446811200,Seminar
12.00-13.00,B109,90,0,0,6th November 2015,1446811200,Seminar
13.00-14.00,B004,160,1,50,6th November 2015,1446814800,Lecture Theatre
13.00-14.00,B002,90,1,25,6th November 2015,1446814800,Classroom
13.00-14.00,B003,90,0,0,6th November 2015,1446814800,Classroom
13.00-14.00,B106,90,0,0,6th November 2015,1446814800,A.L.E.
13.00-14.00,B108,40,0,0,6th November 2015,1446814800,Seminar
13.00-14.00,B109,90,0,0,6th November 2015,1446814800,Seminar
14.00-15.00,B004,160,1,25,6th November 2015,1446818400,Lecture Theatre
14.00-15.00,B002,90,1,25,6th November 2015,1446818400,Classroom
14.00-15.00,B003,90,1,75,6th November 2015,1446818400,Classroom
14.00-15.00,B106,90,1,50,6th November 2015,1446818400,A.L.E.
14.00-15.00,B108,40,0,0,6th November 2015,1446818400,Seminar
14.00-15.00,B109,90,0,0,6th November 2015,1446818400,Seminar
15.00-16.00,B004,160,0,0,6th November 2015,1446822000,Lecture Theatre
15.00-16.00,B002,90,1,50,6th November 2015,1446822000,Classroom
15.00-16.00,B003,90,1,75,6th November 2015,1446822000,Classroom
15.00-16.00,B106,90,1,100,6th November 2015,1446822000,A.L.E.
15.00-16.00,B108,40,0,0,6th November 2015,1446822000,Seminar
15.00-16.00,B109,90,0,0,6th November 2015,1446822000,Seminar
16.00-17.00,B004,160,0,0,6th November 2015,1446825600,Lecture Theatre
16.00-17.00,B002,90,1,50,6th November 2015,1446825600,Classroom
16.00-17.00,B003,90,1,50,6th November 2015,1446825600,Classroom
16.00-17.00,B106,90,1,75,6th November 2015,1446825600,A.L.E.
16.00-17.00,B108,40,0,0,6th November 2015,1446825600,Seminar
16.00-17.00,B109,90,0,0,6th November 2015,1446825600,Seminar
9.00-10.00,B004,160,1,25,9th November 2015,1447059600,Lecture Theatre
9.00-10.00,B002,90,1,25,9th November 2015,1447059600,Classroom
9.00-10.00,B003,90,1,50,9th November 2015,1447059600,Classroom
9.00-10.00,B106,90,1,100,9th November 2015,1447059600,A.L.E.
9.00-10.00,B108,40,0,0,9th November 2015,1447059600,Seminar
9.00-10.00,B109,90,0,0,9th November 2015,1447059600,Seminar
10.00-11.00,B004,160,1,25,9th November 2015,1447063200,Lecture Theatre
10.00-11.00,B002,90,1,25,9th November 2015,1447063200,Classroom
10.00-11.00,B003,90,1,25,9th November 2015,1447063200,Classroom
10.00-11.00,B106,90,1,75,9th November 2015,1447063200,A.L.E.
10.00-11.00,B108,40,1,25,9th November 2015,1447063200,Seminar
10.00-11.00,B109,90,0,0,9th November 2015,1447063200,Seminar
11.00-12.00,B004,160,1,25,9th November 2015,1447066800,Lecture Theatre
11.00-12.00,B002,90,0,0,9th November 2015,1447066800,Classroom
11.00-12.00,B003,90,1,50,9th November 2015,1447066800,Classroom
11.00-12.00,B106,90,0,0,9th November 2015,1447066800,A.L.E.
11.00-12.00,B108,40,1,25,9th November 2015,1447066800,Seminar
11.00-12.00,B109,90,1,25,9th November 2015,1447066800,Seminar
12.00-13.00,B004,160,1,25,9th November 2015,1447070400,Lecture Theatre
12.00-13.00,B002,90,1,25,9th November 2015,1447070400,Classroom
12.00-13.00,B003,90,1,50,9th November 2015,1447070400,Classroom
12.00-13.00,B106,90,0,0,9th November 2015,1447070400,A.L.E.
12.00-13.00,B108,40,1,25,9th November 2015,1447070400,Seminar
12.00-13.00,B109,90,1,25,9th November 2015,1447070400,Seminar
13.00-14.00,B004,160,1,25,9th November 2015,1447074000,Lecture Theatre
13.00-14.00,B002,90,1,25,9th November 2015,1447074000,Classroom
13.00-14.00,B003,90,1,25,9th November 2015,1447074000,Classroom
13.00-14.00,B106,90,1,25,9th November 2015,1447074000,A.L.E.
13.00-14.00,B108,40,1,25,9th November 2015,1447074000,Seminar
13.00-14.00,B109,90,1,25,9th November 2015,1447074000,Seminar
14.00-15.00,B004,160,1,25,9th November 2015,1447077600,Lecture Theatre
14.00-15.00,B002,90,1,25,9th November 2015,1447077600,Classroom
14.00-15.00,B003,90,1,25,9th November 2015,1447077600,Classroom
14.00-15.00,B106,90,1,50,9th November 2015,1447077600,A.L.E.
14.00-15.00,B108,40,1,50,9th November 2015,1447077600,Seminar
14.00-15.00,B109,90,0,0,9th November 2015,1447077600,Seminar
15.00-16.00,B004,160,1,50,9th November 2015,1447081200,Lecture Theatre
15.00-16.00,B002,90,1,25,9th November 2015,1447081200,Classroom
15.00-16.00,B003,90,1,25,9th November 2015,1447081200,Classroom
15.00-16.00,B106,90,1,100,9th November 2015,1447081200,A.L.E.
15.00-16.00,B108,40,1,50,9th November 2015,1447081200,Seminar
15.00-16.00,B109,90,1,25,9th November 2015,1447081200,Seminar
16.00-17.00,B004,160,1,25,9th November 2015,1447084800,Lecture Theatre
16.00-17.00,B002,90,1,25,9th November 2015,1447084800,Classroom
16.00-17.00,B003,90,1,25,9th November 2015,1447084800,Classroom
16.00-17.00,B106,90,1,75,9th November 2015,1447084800,A.L.E.
16.00-17.00,B108,40,1,25,9th November 2015,1447084800,Seminar
16.00-17.00,B109,90,1,25,9th November 2015,1447084800,Seminar
9.00-10.00,B004,160,1,25,10th November 2015,1447146000,Lecture Theatre
9.00-10.00,B002,90,0,0,10th November 2015,1447146000,Classroom
9.00-10.00,B003,90,0,0,10th November 2015,1447146000,Classroom
9.00-10.00,B106,90,0,0,10th November 2015,1447146000,A.L.E.
9.00-10.00,B108,40,0,0,10th November 2015,1447146000,Seminar
9.00-10.00,B109,90,0,0,10th November 2015,1447146000,Seminar
10.00-11.00,B004,160,1,25,10th November 2015,1447149600,Lecture Theatre
10.00-11.00,B002,90,0,0,10th November 2015,1447149600,Classroom
10.00-11.00,B003,90,0,0,10th November 2015,1447149600,Classroom
10.00-11.00,B106,90,0,0,10th November 2015,1447149600,A.L.E.
10.00-11.00,B108,40,0,0,10th November 2015,1447149600,Seminar
10.00-11.00,B109,90,0,0,10th November 2015,1447149600,Seminar
11.00-12.00,B004,160,1,25,10th November 2015,1447153200,Lecture Theatre
11.00-12.00,B002,90,1,25,10th November 2015,1447153200,Classroom
11.00-12.00,B003,90,1,50,10th November 2015,1447153200,Classroom
11.00-12.00,B106,90,1,75,10th November 2015,1447153200,A.L.E.
11.00-12.00,B108,40,0,0,10th November 2015,1447153200,Seminar
11.00-12.00,B109,90,0,0,10th November 2015,1447153200,Seminar
12.00-13.00,B004,160,1,25,10th November 2015,1447156800,Lecture Theatre
12.00-13.00,B002,90,1,25,10th November 2015,1447156800,Classroom
12.00-13.00,B003,90,1,50,10th November 2015,1447156800,Classroom
12.00-13.00,B106,90,1,75,10th November 2015,1447156800,A.L.E.
12.00-13.00,B108,40,0,0,10th November 2015,1447156800,Seminar
12.00-13.00,B109,90,0,0,10th November 2015,1447156800,Seminar
13.00-14.00,B004,160,1,25,10th November 2015,1447160400,Lecture Theatre
13.00-14.00,B002,90,1,25,10th November 2015,1447160400,Classroom
13.00-14.00,B003,90,1,25,10th November 2015,1447160400,Classroom
13.00-14.00,B106,90,1,50,10th November 2015,1447160400,A.L.E.
13.00-14.00,B108,40,0,0,10th November 2015,1447160400,Seminar
13.00-14.00,B109,90,0,0,10th November 2015,1447160400,Seminar
14.00-15.00,B004,160,1,50,10th November 2015,1447164000,Lecture Theatre
14.00-15.00,B002,90,1,50,10th November 2015,1447164000,Classroom
14.00-15.00,B003,90,1,25,10th November 2015,1447164000,Classroom
14.00-15.00,B106,90,1,75,10th November 2015,1447164000,A.L.E.
14.00-15.00,B108,40,1,50,10th November 2015,1447164000,Seminar
14.00-15.00,B109,90,1,25,10th November 2015,1447164000,Seminar
15.00-16.00,B004,160,1,25,10th November 2015,1447167600,Lecture Theatre
15.00-16.00,B002,90,1,50,10th November 2015,1447167600,Classroom
15.00-16.00,B003,90,1,25,10th November 2015,1447167600,Classroom
15.00-16.00,B106,90,1,50,10th November 2015,1447167600,A.L.E.
15.00-16.00,B108,40,1,25,10th November 2015,1447167600,Seminar
15.00-16.00,B109,90,0,0,10th November 2015,1447167600,Seminar
16.00-17.00,B004,160,0,0,10th November 2015,1447171200,Lecture Theatre
16.00-17.00,B002,90,1,25,10th November 2015,1447171200,Classroom
16.00-17.00,B003,90,0,0,10th November 2015,1447171200,Classroom
16.00-17.00,B106,90,1,50,10th November 2015,1447171200,A.L.E.
16.00-17.00,B108,40,1,25,10th November 2015,1447171200,Seminar
16.00-17.00,B109,90,0,0,10th November 2015,1447171200,Seminar
9.00-10.00,B004,160,0,0,11th November 2015,1447232400,Lecture Theatre
9.00-10.00,B002,90,1,25,11th November 2015,1447232400,Classroom
9.00-10.00,B003,90,0,0,11th November 2015,1447232400,Classroom
9.00-10.00,B106,90,1,75,11th November 2015,1447232400,A.L.E.
9.00-10.00,B108,40,0,0,11th November 2015,1447232400,Seminar
9.00-10.00,B109,90,0,0,11th November 2015,1447232400,Seminar
10.00-11.00,B004,160,0,0,11th November 2015,1447236000,Lecture Theatre
10.00-11.00,B002,90,0,0,11th November 2015,1447236000,Classroom
10.00-11.00,B003,90,0,0,11th November 2015,1447236000,Classroom
10.00-11.00,B106,90,1,50,11th November 2015,1447236000,A.L.E.
10.00-11.00,B108,40,1,25,11th November 2015,1447236000,Seminar
10.00-11.00,B109,90,0,0,11th November 2015,1447236000,Seminar
11.00-12.00,B004,160,1,25,11th November 2015,1447239600,Lecture Theatre
11.00-12.00,B002,90,1,25,11th November 2015,1447239600,Classroom
11.00-12.00,B003,90,1,75,11th November 2015,1447239600,Classroom
11.00-12.00,B106,90,1,25,11th November 2015,1447239600,A.L.E.
11.00-12.00,B108,40,1,25,11th November 2015,1447239600,Seminar
11.00-12.00,B109,90,0,0,11th November 2015,1447239600,Seminar
12.00-13.00,B004,160,1,25,11th November 2015,1447243200,Lecture Theatre
12.00-13.00,B002,90,1,25,11th November 2015,1447243200,Classroom
12.00-13.00,B003,90,1,75,11th November 2015,1447243200,Classroom
12.00-13.00,B106,90,1,25,11th November 2015,1447243200,A.L.E.
12.00-13.00,B108,40,1,25,11th November 2015,1447243200,Seminar
12.00-13.00,B109,90,0,0,11th November 2015,1447243200,Seminar
13.00-14.00,B004,160,0,0,11th November 2015,1447246800,Lecture Theatre
13.00-14.00,B002,90,1,25,11th November 2015,1447246800,Classroom
13.00-14.00,B003,90,1,75,11th November 2015,1447246800,Classroom
13.00-14.00,B106,90,1,25,11th November 2015,1447246800,A.L.E.
13.00-14.00,B108,40,1,25,11th November 2015,1447246800,Seminar
13.00-14.00,B109,90,1,25,11th November 2015,1447246800,Seminar
14.00-15.00,B004,160,0,0,11th November 2015,1447250400,Lecture Theatre
14.00-15.00,B002,90,0,0,11th November 2015,1447250400,Classroom
14.00-15.00,B003,90,1,50,11th November 2015,1447250400,Classroom
14.00-15.00,B106,90,1,50,11th November 2015,1447250400,A.L.E.
14.00-15.00,B108,40,1,50,11th November 2015,1447250400,Seminar
14.00-15.00,B109,90,1,25,11th November 2015,1447250400,Seminar
15.00-16.00,B004,160,0,0,11th November 2015,1447254000,Lecture Theatre
15.00-16.00,B002,90,1,25,11th November 2015,1447254000,Classroom
15.00-16.00,B003,90,1,25,11th November 2015,1447254000,Classroom
15.00-16.00,B106,90,1,25,11th November 2015,1447254000,A.L.E.
15.00-16.00,B108,40,1,25,11th November 2015,1447254000,Seminar
15.00-16.00,B109,90,0,0,11th November 2015,1447254000,Seminar
16.00-17.00,B004,160,0,0,11th November 2015,1447257600,Lecture Theatre
16.00-17.00,B002,90,1,25,11th November 2015,1447257600,Classroom
16.00-17.00,B003,90,1,50,11th November 2015,1447257600,Classroom
16.00-17.00,B106,90,0,0,11th November 2015,1447257600,A.L.E.
